質問ID,質問内容,面接段階,質問カテゴリ,質問の目的,評価ポイント,評価基準,重要度,NGワード例,フォローアップ質問
ENT-001,こんにちは。本日はお忙しい中、面接のお時間をいただきありがとうございます。まず、簡単に自己紹介をお願いします。お名前、現在のお仕事、今回の応募に至った経緯を教えてください。,導入,導入・自己紹介,緊張をほぐし、基本情報を確認する。コミュニケーション能力の初期評価。,話し方の明確さ・論理的構成・第一印象,明確で簡潔な自己紹介ができるか。基本情報を論理的に整理して伝えられるか。,高,曖昧な回答・情報不足・話が長すぎる・緊張で話せない,その経験の中で最も印象に残っていることは何ですか？
ENT-002,これまでのご経験の中で、最も成果を上げた仕事について具体的に教えてください。,導入,職歴・経験,実務経験と成果創出能力を評価する。具体的な行動と結果を確認。,具体性・成果の規模・問題解決能力・主体性,具体的な業務内容と成果を説明できるか。経験の幅と深さを評価。,高,抽象的すぎる説明・成果が不明確・経験の浅さ・誇張,その成果を上げるために、どのような工夫や努力をされましたか？
ENT-003,これまでの仕事で最も困難だった状況と、それをどう乗り越えたか教えてください。,導入,職歴・経験,困難への対処能力、レジリエンス、学習能力を評価する。,困難の認識力・解決策の創造性・学習姿勢,論理的な問題解決ができるか。困難に立ち向かう姿勢があるか。,高,逃避的・他責思考・解決策なし・困難を認識できない,その経験から学んだことを、今後どう活かしていきたいですか？
ENT-004,現在の職場を離れて、弊社への転職を考えられた理由を教えてください。,導入,転職理由,転職動機の妥当性、ネガティブな理由でないかを確認する。,理由の妥当性・前向きさ・現実的な判断力,転職理由が前向きで建設的か。企業選択の判断力があるか。,高,前職の悪口・批判・給与のみへの関心・曖昧な理由,現在の職場では、その課題は解決できないのでしょうか？
ENT-005,数ある企業の中で、なぜ弊社を志望されたのですか？弊社の魅力をどう感じていますか？,中盤,志望動機,企業研究の深さ、本気度、価値観の適合性を評価する。,企業理解度・志望度の高さ・価値観の一致,事前の企業研究ができているか。志望動機が明確で具体的か。,高,企業研究不足・曖昧な志望動機・業界理解不足・表面的な理解,弊社のどの事業領域に最も興味をお持ちですか？
ENT-006,この職種で活かせるご自身の強みやスキルについて、具体例とともに教えてください。,中盤,スキル・能力,職務適性、スキルレベル、自己分析能力を評価する。,スキルの具体性・職務との関連性・成長意欲,保有スキルが職務に適合するか。自己分析能力があるか。,高,抽象的なスキル・職務との関連性不足・過大評価,そのスキルを身につけるために、どのような努力をされましたか？
ENT-007,ご自身の弱みや改善したい点があれば教えてください。それに対してどう取り組んでいますか？,中盤,スキル・能力,自己認識力、改善意欲、成長可能性を評価する。,自己分析力・改善への取り組み・素直さ,客観的な自己分析ができるか。短所を改善する具体的な取り組みがあるか。,中,短所を長所に言い換える・改善努力なし・自己分析不足,具体的にはどのような方法で改善に取り組んでいますか？
ENT-008,チームで働く際に大切にしていることは何ですか？具体的なエピソードがあれば教えてください。,中盤,チームワーク,協調性、リーダーシップ、コミュニケーション能力を評価する。,協調性・リーダーシップ・コンフリクト解決能力,チームワークの重要性を理解しているか。協調性と貢献意識があるか。,高,個人主義的・協調性不足・チーム経験なし・自己中心的,チーム内で意見が対立した時、どのように対処しますか？
ENT-009,理想的な働き方や職場環境について教えてください。,中盤,働き方・条件,働き方の価値観、会社文化との適合性を確認する。,現実的な期待値・柔軟性・適応力,企業文化との適合性があるか。現実的な期待値を持っているか。,中,非現実的な要求・柔軟性不足・条件面のみ重視,リモートワークと出社勤務、どちらを希望されますか？
ENT-010,5年後、10年後のキャリアビジョンについて教えてください。,中盤,キャリアビジョン,長期的な視点、成長意欲、会社での定着可能性を評価する。,計画性・現実性・成長意欲・定着可能性,明確なキャリアプランがあるか。成長への意欲と計画性を評価。,高,計画性なし・現実性不足・成長意欲低い・短期的思考,そのビジョンを実現するために、今何が必要だと思いますか？
ENT-011,最近新しく学んだことや、スキルアップのために取り組んでいることはありますか？,中盤,学習・成長,継続的な学習意欲、自己投資への姿勢を評価する。,学習意欲・自己投資・好奇心・向上心,継続的な学習意欲があるか。効果的な学習方法を持っているか。,中,学習意欲低い・受動的・具体例なし・現状維持志向,それを学ぼうと思ったきっかけは何ですか？
ENT-012,仕事でストレスを感じる時はどのような時ですか？そのストレスにどう対処していますか？,終了,ストレス・課題対応,ストレス耐性、セルフマネジメント能力を評価する。,ストレス耐性・対処法の妥当性・メンタルヘルス,ストレス要因を理解し、適切な対処法を持っているか。,中,ストレス耐性低い・対処法なし・不健全な解消法・回避的,プレッシャーの大きい仕事を任された経験はありますか？
ENT-013,仕事をする上で最も大切にしている価値観は何ですか？,終了,価値観・動機,価値観の適合性、仕事への姿勢、動機の質を評価する。,価値観の明確さ・会社理念との適合性・一貫性,企業の価値観と適合するか。仕事への姿勢が適切か。,高,価値観が不明確・企業理念と不適合・一貫性なし,その価値観が形成されたきっかけやエピソードはありますか？
ENT-014,最後に、弊社や職務について何かご質問はありますか？,終了,逆質問対応,関心度、準備度、コミュニケーション能力を最終確認する。,質問の質・関心度・準備の充実度,企業への関心と積極性があるか。適切な質問ができるか。,中,質問なし・的外れな質問・準備不足・受動的,他にも気になることがあれば、遠慮なくお聞きください。
